#ALL records: 106

#followup_name, tw_beg, tw_end, obs_stag, objra, objdec, trigger_time, insert_time, time_check, priority, expdur, frmcnt, op_time, dely_time
G200117_C02473_001, 0000/00/00 00:00:00, 0000/00/00 00:00:00, unobservable, 322.764, 11.1501, 2020/01/17 19:18:29.159000, PASS, 80, 30, 2, None, None
G200117_C02504_001, 2020/01/17 10:19:59, 2020/01/17 11:19:59, pass, 335.572, 15.489, 2020/01/17 19:18:59.160000, CURRENT, 80, 30, 2, None, None
G200117_C02523_001, 2020/01/17 10:19:59, 2020/01/17 11:19:59, pass, 319.319, 39.3838, 2020/01/17 19:19:14.159000, CURRENT, 80, 30, 2, None, None
G200117_C02300_002, 2020/01/17 10:19:59, 2020/01/17 13:40:00, complete, 350.157, 39.6206, 2020/01/17 19:20:05.770000, CURRENT, 81, 30, 1, 2020-01-17T11:20:19, 0.23 mins
G200117_C02300_003, 2020/01/17 10:19:59, 2020/01/17 13:40:00, complete, 350.157, 39.6206, 2020/01/17 19:20:06.332000, CURRENT, 81, 30, 1, 2020-01-17T11:21:45, 1.65 mins
G200117_C01773_006, 2020/01/17 10:19:59, 2020/01/17 12:40:00, complete, 338.749, 40.609, 2020/01/17 19:20:55.021000, CURRENT, 80, 30, 1, 2020-01-17T11:25:21, 4.43 mins
G200117_C01773_007, 2020/01/17 10:19:59, 2020/01/17 12:40:00, complete, 338.749, 40.609, 2020/01/17 19:20:55.335000, CURRENT, 80, 30, 1, 2020-01-17T11:23:57, 3.03 mins
G200117_C02727_001, 2020/01/17 10:19:59, 2020/01/17 19:19:59, scheduled, 91.5219, 21.1325, 2020/01/17 19:24:29.159000, CURRENT, 80, 30, 2, None, None
G200117_C02300_004, 2020/01/17 10:19:59, 2020/01/17 13:40:00, complete, 350.157, 39.6206, 2020/01/17 19:25:04.092000, CURRENT, 80, 30, 1, 2020-01-17T11:28:07, 3.05 mins
G200117_C02300_005, 2020/01/17 10:19:59, 2020/01/17 13:40:00, complete, 350.157, 39.6206, 2020/01/17 19:25:04.409000, CURRENT, 80, 30, 1, 2020-01-17T11:26:44, 1.67 mins
G200117_C02810_001, 2020/01/17 10:40:00, 2020/01/17 19:19:59, scheduled, 98.6338, 14.4727, 2020/01/17 19:25:29.160000, CURRENT, 80, 30, 2, None, None
G200117_C02855_001, 2020/01/17 11:19:59, 2020/01/17 20:19:59, scheduled, 112.469, 15.3698, 2020/01/17 19:26:04.241000, CURRENT, 80, 30, 2, None, None
G200117_C02056_006, 2020/01/17 10:19:59, 2020/01/17 12:40:00, complete, 338.749, 40.6089, 2020/01/17 19:28:39.581000, CURRENT, 80, 30, 1, 2020-01-17T11:41:32, 12.88 mins
G200117_C02056_007, 2020/01/17 10:19:59, 2020/01/17 12:40:00, complete, 338.749, 40.6089, 2020/01/17 19:28:40.118000, CURRENT, 80, 30, 1, 2020-01-17T11:30:47, 2.12 mins
G200117_C04088_001, 2020/01/17 10:40:00, 2020/01/17 19:40:00, scheduled, 101.251, 15.2604, 2020/01/17 19:41:30.507000, CURRENT, 80, 30, 2, None, None
G200117_C04153_001, 2020/01/17 10:19:59, 2020/01/17 20:39:59, scheduled, 104.713, 31.5587, 2020/01/17 19:42:54.039000, CURRENT, 80, 30, 2, None, None
G200117_C02300_006, 2020/01/17 10:19:59, 2020/01/17 13:40:00, complete, 350.157, 39.6206, 2020/01/17 19:45:20.097000, CURRENT, 80, 30, 1, 2020-01-17T11:52:14, 6.9 mins
G200117_C02300_007, 2020/01/17 10:19:59, 2020/01/17 13:40:00, complete, 350.157, 39.6206, 2020/01/17 19:45:25.765000, CURRENT, 80, 30, 1, 2020-01-17T11:51:57, 6.53 mins
G200117_C04490_001, 2020/01/17 10:19:59, 2020/01/17 19:19:59, scheduled, 93.4732, 19.0175, 2020/01/17 19:46:59.160000, CURRENT, 80, 30, 2, None, None
G200117_C04521_001, 2020/01/17 10:19:59, 2020/01/17 18:59:59, scheduled, 94.2174, 13.9885, 2020/01/17 19:47:14.159000, CURRENT, 80, 30, 2, None, None
G200117_C01773_008, 2020/01/17 10:19:59, 2020/01/17 12:40:00, complete, 338.749, 40.609, 2020/01/17 20:04:23.241000, CURRENT, 80, 30, 1, 2020-01-17T12:23:46, 19.38 mins
G200117_C01773_009, 2020/01/17 10:19:59, 2020/01/17 12:40:00, complete, 338.749, 40.609, 2020/01/17 20:04:23.593000, CURRENT, 80, 30, 1, 2020-01-17T12:23:26, 19.05 mins
G200117_C05023_001, 2020/01/17 10:19:59, 2020/01/17 21:20:00, scheduled, 107.076, 38.851, 2020/01/17 20:05:05.341000, CURRENT, 80, 30, 2, None, None
G200117_C02056_008, 2020/01/17 10:19:59, 2020/01/17 12:40:00, complete, 338.749, 40.6089, 2020/01/17 20:11:19.779000, CURRENT, 80, 30, 1, 2020-01-17T12:12:50, 1.52 mins
G200117_C02056_009, 2020/01/17 10:19:59, 2020/01/17 12:40:00, complete, 338.749, 40.6089, 2020/01/17 20:11:20.324000, CURRENT, 80, 30, 1, 2020-01-17T12:12:31, 1.18 mins
G200117_C05409_001, 2020/01/17 11:19:59, 2020/01/17 20:00:00, scheduled, 110.676, 12.2536, 2020/01/17 20:15:12.006000, CURRENT, 80, 30, 2, None, None
G200117_C05621_001, 2020/01/17 12:00:00, 2020/01/17 22:19:59, complete, 139.983, 50.6471, 2020/01/17 20:15:59.158000, CURRENT, 80, 30, 2, 2020-01-17T13:15:58, 59.98 mins
G200117_C05933_001, 2020/01/17 12:00:00, 2020/01/17 22:19:59, complete, 140.01, 50.6805, 2020/01/17 20:19:46.094000, CURRENT, 80, 30, 2, 2020-01-17T13:06:01, 46.25 mins
G200117_C05975_001, 2020/01/17 11:39:59, 2020/01/17 20:19:59, scheduled, 113.782, 11.5719, 2020/01/17 20:20:42.833000, CURRENT, 80, 30, 2, None, None
G200117_C05989_001, 2020/01/17 11:39:59, 2020/01/17 21:00:00, scheduled, 119.436, 21.2481, 2020/01/17 20:21:02.174000, CURRENT, 80, 30, 2, None, None
G200117_C06074_001, 2020/01/17 12:00:00, 2020/01/17 22:19:59, complete, 140.031, 50.7068, 2020/01/17 20:22:30.707000, CURRENT, 80, 30, 2, 2020-01-17T13:05:44, 43.23 mins
G200117_C06219_001, 2020/01/17 12:20:00, 2020/01/17 21:59:59, complete, 131.863, 21.5005, 2020/01/17 20:24:14.205000, CURRENT, 80, 30, 2, 2020-01-17T13:16:15, 52.02 mins
